temp,pre,humi
23.33928556,100.8382677,65.15749978
23.33928556,100.8493308,65.08510262
23.32921549,100.8477356,65.21172794
23.33928556,100.8493308,65.2354642
23.31914543,100.8572032,65.08775533
23.30907537,100.8500765,65.26449058
23.28893524,100.8524171,65.12792806
23.29397027,100.8532148,65.29013832
23.30907537,100.8528422,65.16425794
23.3141104,100.8481085,65.26522164
23.30907537,100.8500765,65.05288484
23.27886518,100.8535873,65.02067052
23.25872507,100.853162,64.86741278
23.2637601,100.8511943,64.96837078
23.26879513,100.851992,64.83545481
23.24865501,100.8515666,64.81027583
23.26879513,100.851992,64.6572548
23.24865501,100.8570974,64.76572839
23.24361998,100.8535343,64.80398137
23.24865501,100.854332,64.35363664
23.26879513,100.851992,64.67953032
23.26879513,100.851992,64.64611698
23.2637601,100.8484288,64.56742784
23.24361998,100.850769,64.43645084
23.27383015,100.8555551,64.58558194
23.25872507,100.8586929,64.3439402
23.23858496,100.8693286,64.29650381
23.2637601,100.8650215,64.37807708
23.23858496,100.8637979,64.3856085
23.2637601,100.8622561,64.28896715
23.27383015,100.8776791,64.27926863
23.2637601,100.8705524,64.2666893
23.25872507,100.8780509,63.9540673
23.2637601,100.8788488,64.15529783
23.26879513,100.8851776,64.25627026
23.24865501,100.8792205,64.21440505
23.23858496,100.8831553,64.02360603
23.23354993,100.8823574,63.92263601
23.2285149,100.8926206,63.77153687
23.2285149,100.88709,63.7269777
23.23858496,100.8942167,63.71726584
23.23354993,100.8934187,63.59400931
23.23858496,100.8997475,63.33847945
23.22347988,100.9056491,63.26393254
23.2285149,100.9064472,63.25350013
23.21844485,100.9103815,63.22422929
23.20333977,100.9024564,62.99370727
23.2083748,100.9087851,63.15596531
23.21844485,100.9076162,63.11281468
23.20333977,100.896926,62.97142388
23.20333977,100.9024564,63.02713209
23.2083748,100.9032546,63.03340933
23.18319968,100.9103243,62.86275728
23.2083748,100.9032546,62.78828399
23.20333977,100.9135173,62.83214932
23.19830475,100.9154842,62.79801869
23.1882347,100.9138877,62.76318498
23.19830475,100.9210146,62.69773757
23.17816465,100.9205865,62.49993557
23.17816465,100.9205865,62.6057892
23.19830475,100.9237798,62.34673012
23.21844485,100.9297384,62.57797328
23.2083748,100.930907,62.37041561
23.21844485,100.9380343,62.53897111
23.2083748,100.941968,62.39827511
23.21844485,100.935269,62.41081793
23.23354993,100.9321335,62.39620001
23.22347988,100.9415981,62.24992429
23.24865501,100.9511213,62.16982267
23.24865501,100.9483558,62.30356625
23.2285149,100.9479272,62.27848379
23.22347988,100.9471287,62.16633857
23.24865501,100.9483558,62.11409461
23.2285149,100.9506926,62.02771971
23.23858496,100.9522896,61.96780816
23.24865501,100.9538867,61.82429385
23.24865501,100.9566522,61.85773367
23.2285149,100.9589886,61.81594884
23.24865501,100.9594176,61.89117316
23.24361998,100.9669153,61.61181
23.24865501,100.9649485,61.69053126
23.24865501,100.9787758,61.4954513
23.24865501,100.9732449,61.540042
23.25369004,100.976809,61.47941877
23.25872507,100.9831388,61.4466636
23.2637601,100.975641,61.31357028
23.26879513,100.9819708,61.3254064
23.26879513,100.9819708,61.31983199
23.27886518,100.9890995,61.31563214
23.27383015,100.999363,61.22017722
23.27886518,101.0001619,61.41597254
23.26879513,100.9985641,61.43131848
23.24865501,101.0008995,61.53446819
23.24865501,101.0064305,61.31150842
23.25369004,101.0016984,61.43482677
23.24865501,101.0064305,61.35610155
23.23858496,101.0131288,61.31013385
23.24361998,101.0249897,61.22163409
23.23858496,101.0131288,60.89762858
23.23858496,101.0214251,60.81958137
23.24865501,101.0119614,60.79306998
23.24865501,101.0147269,60.80979504
23.27886518,101.0195212,60.76370653
23.27886518,101.0167556,60.68007356
23.28390021,101.0203203,60.6361482
23.28893524,101.0183537,60.55876585
23.30404034,101.0235165,60.53849792
23.2990053,101.0310146,60.41514314
23.31914543,101.023148,60.44573473
23.32921549,101.0219802,60.41362999
23.33425053,101.0200134,60.39757694
23.33928556,101.0346419,60.34248525
23.35439066,101.0259755,60.34451441
23.35439066,101.0287414,60.39470794
23.37956583,101.0216725,60.38693797
23.38460087,101.0197054,60.33741775
23.3896359,101.0205044,60.29347329
23.40977605,101.0181679,60.27944268
23.42488116,101.0233311,60.23126625
23.4299162,101.02413,60.21520653
23.43998628,101.025728,60.14403642
23.46012644,101.0261575,60.01283982
23.46012644,101.0233911,60.00168185
23.4802666,101.0293534,60.03784679
23.50040677,101.0297827,59.97916363
23.51047685,101.028614,59.90239174
23.52054694,101.0219118,59.96511267
23.53061702,101.0262763,59.98877617
23.53061702,101.0235096,59.97203644
23.56586234,101.0208011,59.78700282
23.58096748,101.0148968,59.68855552
23.57593243,101.0196319,59.66556284
23.60110767,101.020859,59.64658008
23.61117777,101.0196895,59.56419354
23.61621282,101.0204883,59.50346195
23.63131796,101.0173503,59.4105673
23.63131796,101.0173503,59.4273136
23.65145817,101.0233126,59.50254629
23.67159837,101.0209731,59.52195999
23.68166848,101.0198032,59.4842154
23.67663343,101.0134697,59.64543945
23.70684375,101.0099593,59.51546165
23.72194891,101.00682,59.52304466
23.73201902,101.0084172,59.59695874
23.75215925,100.9977731,59.61637871
23.77229948,101.0175739,59.55763007
23.78740465,101.0088984,59.46470481
23.81761501,101.0053857,59.59713825
23.85286044,101.0026709,59.45102314
23.86796563,100.9967616,59.62056639
23.91328122,100.9984104,59.31936969
23.93342148,100.9905298,59.37230039
23.96866696,100.9878119,59.09203523
23.9787371,100.9866397,59.17716219
